departamento;distrito;zona  ;direccion;latitud;longitud;codigo_ue;unidad_educativa;cod_edif_educativo
SANTA CRUZ;SANTA CRUZ 1;VILLA SAN LUIS U.V. 31 MZ. 18;AV. TUCABACA Nº 2435 ENTRE SEGUNDO Y TERCER ANILLO;-17,779519;-63,201711;81981197,819813;JOVEN BOLIVIA,MAMA MARGARITA;81980047
SANTA CRUZ;SANTA CRUZ 1;4 DE NOVIEMBRE;AV. HERNANDO SANABRIA B/ 3 DE MAYO C/ SANTOS ORTIZ;-17,77768;-63,201909;81980107,8198011;SAN MARTIN DE PORRES I,SAN MARTIN DE PORRES II;81980049
SANTA CRUZ;SANTA CRUZ 1;4 DE NOVIEMBRE;CALLE 3 UV 55 MZ 23;-17,781553;-63,209144;81980041,8198004;LA MADRE,4 DE NOVIEMBRE;81980050
SANTA CRUZ;SANTA CRUZ 1;NORTE;BARRIO 7 DE SEPTIEMBRE KM. 5 AL NORTE;-17,730435;-63,170126;81980380;7 DE SEPTIEMBRE TARDE;81980051
SANTA CRUZ;SANTA CRUZ 1;AVAROA UV 35 2;3ER. ANILLO INTERNO;-17,762054;-63,189307;81980033,81980034,81980035;MIRETTE SCIARONI DE BRUUN I,KURT RICHTER,MIRETTE SCIARONI DE BRUUN II;81980052
SANTA CRUZ;SANTA CRUZ 1;BELEN;RADIAL 26  CALLE SANTIAGO Nº 32;-17,75636;-63,189232;81980059,81980063,81980065;9 DE ABRIL I,CARLOS VASQUEZ BARBOZA,PROF. ROGER RAMIREZ EGUEZ;81980053
SANTA CRUZ;SANTA CRUZ 2;BARRIO BETHESDA Y COBIPOL;BARRIO BETHESDA Y COBIPOL SUR OESTE;-17,828976;-63,22035;81980856,8198086;INTERNACIONAL BETHESDA I,INTERNACIONAL BETHESDA II;81980054
SANTA CRUZ;SANTA CRUZ 3;VILLA 1RO. DE MAYO;BARRIO BOLIVAR, U.V 87 , M. 03A;-17,793452;-63,121911;81980571;SAN FRANCISCO;81980055
SANTA CRUZ;SANTA CRUZ 2;CALAMA;KM. 6 CARRETERA A COCHABAMBA;-17,8372;-63,21733;81980817,81980818,81981029;CALAMA I,CALAMA II,CALAMA III;81980056
SANTA CRUZ;SANTA CRUZ 1;CLARA CUTA;AV. ALEMANA6TO. ANILLO;-17,734468;-63,155186;81980389,8198039;CLARA CUTA,VERTINO CANDIA AYALA;81980058
SANTA CRUZ;SANTA CRUZ 1;EL PROGRESO;BARRIO EL PROGRESO UV 79 MZ 1;-17,728395;-63,142832;81980434,81980437,81981210;EL PROGRESO,SAN MARTIN MAÑANA,SAN MARTIN TARDE;81980060
SANTA CRUZ;SANTA CRUZ 3;VILLA 1RO. DE MAYO;BARRIO EL TERRADO CAMINO ANT. A COTOCA UV. 229 MZ.;-17,812845;-63,092798;81980573;EL TERRADO;81980062
SANTA CRUZ;SANTA CRUZ 2;EL TIGRAL;EL TIGRAL;-17,861663;-63,213862;81980864,81981547,81981554;HONORATO MEJIA CUELLAR,VICTOR PACHECO SAAVEDRA,HONORATO MEJIA CUELLAR  B;81980063
SANTA CRUZ;SANTA CRUZ 3;GUARACACHI CENTRO;BARRIO GUARACACHI UV 140 EP;-17,780598;-63,144878;81980487;FERROVIARIO;81980066
SANTA CRUZ;SANTA CRUZ 3;GUARACACHI;BARRIO GUARACACHI DIAGONAL 21;-17,78092;-63,145546;81980448,8198045;SOR MARIA CRISTINA PEREZ A,SOR MARIA CRISTINA PEREZ B;81980067
SANTA CRUZ;SANTA CRUZ 2;HILANDERIA;AV. ROSITA POCHI Y CALLE 24 DE SEPTIEMBRE;-17,805778;-63,21956;81980798,819808;HILANDERIA SANTA CRUZ II,HILANDERIA SANTA CRUZ I;81980068
SANTA CRUZ;SANTA CRUZ 1;JUAN PABLO II;FINAL AV. SAN SILVESTRE UV 68 MZ A 13;-17,732548;-63,177367;81980370,8198099;NACIONES UNIDAS TARDE,NACIONES UNIDAS MAÑANA;81980069
SANTA CRUZ;SANTA CRUZ 1;JULIO LEIGUE;BARRIO JULIO LEIGUE C/ 9 DE ABRIL;-17,735354;-63,121996;81980419;SANTA ROSA DE LIMA;81980070
SANTA CRUZ;SANTA CRUZ 1;BARRIO NORTE;BARRIO KM 6 AL NORTE UV 77;-17,72271;-63,16407;81980393,8198043;DR. JOSE MARIANO SERRANO TARDE,DR. JOSE MARIANO SERRANO MAÑANA;81980071
SANTA CRUZ;SANTA CRUZ 2;;;-17,81905;-63,203117;81980782,8198078;LA COLINA I,LA COLINA II;81980072
SANTA CRUZ;SANTA CRUZ 2;LA CUCHILLA;CALLE LITORAL UV 108 MA 58;-17,825924;-63,203632;81980843,81980845,81980846,81980847,81980849;ELIGIA HURTADO DE QUIROGA,GERMAN GALVIS PEÑA,JUAN ZARRAGA CAMPOS I,JUAN ZARRAGA CAMPOS II,LITORAL A;81980073
SANTA CRUZ;SANTA CRUZ 1;NUEVA JERUSALEM;KM. 6 CARRT. AL NORTE;-17,722768;-63,160347;81980078;JUAN LABORDE MOREL;81980074
SANTA CRUZ;SANTA CRUZ 2;LOS BOSQUES;DOBLE VIA LA GUARDIA 4TO. ANILLO, ENTRANDO A MANO DERECHA DOS CUADRAS;-17,811796;-63,213181;81980792,81980794,81980797;23 DE MARZO EL BOSQUE,29 DE DICIEMBRE,CRISTINA ROJAS DE HIGAZZY;81980075
SANTA CRUZ;SANTA CRUZ 1;LOS PINOS;UV 79A MZ 20;-17,733269;-63,138193;81980407;JOSEFINA BALSAMO LOS PINOS;81980077
SANTA CRUZ;SANTA CRUZ 1;LOS SAUCES UV 192;CARRETERA AL NORTE KM 6 BARRIOS LOS SAUCES;-17,729092;-63,179013;81980991;LOS SAUCES I;81980078
