DEPARTAMEN;DISTRITO;ZONA;DIRECCION;CODIGO_UE;UNIDAD_EDU
COCHABAMBA;PUERTO VILLARROEL;TRINITARIO;VILLA MIRAFLORES;40870056;TRINITARIO
COCHABAMBA;PUERTO VILLARROEL;VALLE CENTRAL;VALLE CENTRAL;40870057;VALLE CENTRAL
COCHABAMBA;PUERTO VILLARROEL;VALLE TUNARI;VALLE TUNARI;40870059;VALLE TUNARI
COCHABAMBA;PUERTO VILLARROEL;VILLA NUEVA;VILLA NUEVA;40870062;VILLA NUEVA
COCHABAMBA;PUERTO VILLARROEL;VILLA VERDE;COMUNIDAD VILLA VERDE;40870063;VILLA VERDE
COCHABAMBA;PUERTO VILLARROEL;YUQUIS;BIA RECUATE YUQUIS;40870064;YAICUATE
COCHABAMBA;PUERTO VILLARROEL;ALTO SAN PABLO;ALTO SAN PABLO;40870065;ALTO SAN PABLO
COCHABAMBA;PUERTO VILLARROEL;SENDA VI;SENDA VI;40870066;HERNAN SILES
COCHABAMBA;PUERTO VILLARROEL;IVIRGARZAMA;CALLE SEBASTIAN ALFARO IVIRGARZAMA;40870067-40870068;SIMON BOLIVAR Y PALACIOS ,SAN FRANCISCO DE ASIS II
COCHABAMBA;PUERTO VILLARROEL;IVIRGARZAMA;CALLE BOLIVAR Y SEBASTIAN ALFARO S/N;40870071-40870105;EBENEZER TARDE,EBEN - EZER A
COCHABAMBA;PUERTO VILLARROEL;1RO. DE MAYO;1RO. DE MAYO;40870073;1RO. DE MAYO B
COCHABAMBA;PUERTO VILLARROEL;1RO. DE MAYO;COLONIA 1RO. DE MAYO;40870074;1RO. DE MAYO A
COCHABAMBA;PUERTO VILLARROEL;VILLA ROSARIO;VILLA ROSARIO;40870075;VILLA ROSARIO
COCHABAMBA;PUERTO VILLARROEL;VALLE DE SACTA;VALLE DE SACTA AVENIDA SAN SIMON;40870036;JUAN PABLO II
COCHABAMBA;PUERTO VILLARROEL;SIGLO XX;COLONIA SIGLO XX;40870080;SIGLO XX
COCHABAMBA;PUERTO VILLARROEL;SANTA ANA;COOPERATIVA SANTA ANA;40870085;SANTA ANA
COCHABAMBA;PUERTO VILLARROEL;SAN ISIDRO;COLONIA SAN ISIDRO;40870084;SAN ISIDRO
COCHABAMBA;PUERTO VILLARROEL;SAN ANTONIO;SAN ANTONIO;40870082;SAN ANTONIO
COCHABAMBA;PUERTO VILLARROEL;SAJTA PALMAR;COLONIA SAJTA PALMAR;40870040;SAJTA PALMAR
COCHABAMBA;PUERTO VILLARROEL;VALLE IVIRZA;VALLE IVIRZA;40870070;BUENAS NUEVAS
COCHABAMBA;PUERTO VILLARROEL;GUALBERTO VILLARROEL;COLONIA GUALBERTO VILLARROEL;40870013;GUALBERTO VILLARROEL LOPEZ
COCHABAMBA;PUERTO VILLARROEL;SAN JUAN DE DIOS;COMUNIDAD SAN JUAN DE DIOS;40870088;SAN JUAN DE DIOS
COCHABAMBA;PUERTO VILLARROEL;IVIRGARZAMA;CALLE SEBASTIAN ALFARO IVIRGARZAMA;40870089;SAN ANTONIO DE PADUA
COCHABAMBA;PUERTO VILLARROEL;ILLIMANI;CMD. ILLIMANI;40870090;ILLIMANI
COCHABAMBA;PUERTO VILLARROEL;;CARRETERA PUERTO VILLARROEL Y AVENIDA BELEN;40870092;ADVENTISTA IVIRGARZAMA
COCHABAMBA;PUERTO VILLARROEL;SINDICATO TAMBORADA A - 2;TAMBORADA A - 2;40870097;KAMI
COCHABAMBA;PUERTO VILLARROEL;VALLE SACTA;AVENIDA 20 DE ABRIL;40870098;BOLIVIANO JAPONES
COCHABAMBA;PUERTO VILLARROEL;SINDICATO BARRIENTOS;SENDA VII;40870099;RENE BARRIENTOS ORTUÑO
COCHABAMBA;PUERTO VILLARROEL;SINDICATO SAN PEDRO;COLONIA SAN PEDRO;40870100;SAN PEDRO
COCHABAMBA;PUERTO VILLARROEL;SINDICATO SUCRE;SINDICATO SUCRE;40870101;SUCRE
COCHABAMBA;PUERTO VILLARROEL;"TAMBORADA ""B""";"TAMBORADA ""B""";40870102;ADELA ZAMUDIO
COCHABAMBA;PUERTO VILLARROEL;ALALAY VALLE HERMOSO;BARRIO 14 DE SEPTIEMBRE;40870103;JOSE CARRASCO
COCHABAMBA;PUERTO VILLARROEL;IVIRGARZAMA;AVENIDA LOS TAJIBOS - IVIRGARZAMA;40870104;JUANA AZURDUY DE PADILLA B
COCHABAMBA;COLCAPIRHUA;CENTRAL;PLAZA 15 DE ABRIL LADO EL TEMPLO SAN LORENZO;40900002-40900011;RAFAEL ARNAIZ,SAN LORENZO
COCHABAMBA;COLCAPIRHUA;COLLPAPAMPA;KM 9 AV. BLANCO GALINDO 3 1/2 KM AL NORTE;40900003-40900023;NUESTRA SE�ORA DE LA PAZ,MARIA AUXILIADORA
COCHABAMBA;COLCAPIRHUA;SUMUMPAYA;AV. BLANCO GALINDO KM 8 DETRÁS EL PSIQUIATRICO;40900004-40900017;FERROVIARIA,FERROVIARIA MAX FERNANDEZ ROJAS
COCHABAMBA;COLCAPIRHUA;27ORIDA SUD;AV. LIBERTADOR SIMON BOLIVAR;40900005;SIMON BOLIVAR
COCHABAMBA;COLCAPIRHUA;CENTRAL;INGAVI ESQ. 6 DE AGOSTO;40900006-40900007;27 DE MAYO,DANIEL SALAMANCA
COCHABAMBA;COLCAPIRHUA;FLORIDA NORTE;AV. BLANCO GALINDO KM. 7 1/2 FLORIDA NORTE;40900008;BENEDICTO DURAN ORTIZ
COCHABAMBA;COLCAPIRHUA;FLORIDA;FLORIDA SUD - PLAZA ADELA ZAMUDIO;40900009-40900010-40900016;JESUS LARA,PABLO CANO GALVARRO,LA FLORIDA
COCHABAMBA;COLCAPIRHUA;KAMI;AV. LA PAZ FRENTE POSTA SANITARIA - COLLPAPAMPA;40900012-40900022;SAN JOSE KAMI,MARISCAL SUCRE
COCHABAMBA;COLCAPIRHUA;COCHABAMBA;Blanco Galindo Km. 6 3 cuadras al norte;409,000,204,090,003;SAUSALITO,SAUSALITO II
COCHABAMBA;COLCAPIRHUA;COLCAPIRHUA;AV. BLANCO GALINDO KM. 7 1/2 CANAL FLORIDA;40900024;DON BOSCO
COCHABAMBA;COLCAPIRHUA;COLCAPIRHUA;CALLE JOSE ENTRE REDUCTO Y LA PAZ;40900025;CRISTIANO COLCAPIRHUA
COCHABAMBA;VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. V;TACACHI;TACACHI;50850001;TACACHI
COCHABAMBA;VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. V;SAN FRANCISCO;CMD. SAN FRANCISCO;50850002;SAN FRANCISCO
COCHABAMBA;CHIMORE;TRES ISLAS;TRES ISLAS A ORILLAS DEL RIO ICHILO;50870001;TRES ISLAS
COCHABAMBA;CHIMORE;CHIMORE;CHIMORE AV. DEL ESTUDIANTE;50,870,003,508,700,400,000,000,000,000,000;CHIMORE,PADRE JERONIMO USERA,MARCELO QUIROGA SANTA CRUZ,SAN JOSE OBRERO
COCHABAMBA;CHIMORE;CESARZAMA;CESARZAMA;50870004;CESARZAMA
COCHABAMBA;CHIMORE;GUADALUPE;GUADALUPE;50870005;BOLIVAR
COCHABAMBA;CHIMORE;LITORAL;COL. LITORAL;50870006;LITORAL
COCHABAMBA;CHIMORE;MIRABEL;MIRABEL;50870007;MIRABEL
COCHABAMBA;CHIMORE;CAPERNAUN;CAPERNAUN A ORILLAS DEL RIO ICHILO;50870008;CAPERNAUM
COCHABAMBA;VILLA TUNARI;IBARECITO;IBARECITO;50870009;IBARECITO
COCHABAMBA;CHIMORE;LA MISION;LA MISION;50870010;LA MISION
COCHABAMBA;CHIMORE;POCOATA;SINDICATO POCOATA;50870011;POCOATA
COCHABAMBA;CHIMORE;PUERTO LAS FLORES;PUERTO LAS FLORES DEL RIO ICHILO;50870012;PUERTO LAS FLORES
COCHABAMBA;CHIMORE;SANTA ISABEL;SANTA ISABEL A ORILLAS DEL RIO ICHILO;50870013;SANTA ISABEL
COCHABAMBA;CHIMORE;SENDA B;SENDA B;50870015;NUEVA CANNAN
COCHABAMBA;CHIMORE;SENDA E;SENDA E;50870016;SENDA E
COCHABAMBA;CHIMORE;CALIFORNIA;CALIFORNIA;50870017;CALIFORNIA
COCHABAMBA;VILLA TUNARI;NUEVA ESPERANZA;NUEVA ESPERANZA;50870019;NUEVA ESPERANZA
COCHABAMBA;CHIMORE;PUERTO AURORA;PUERTO AURORA;50870020;PUERTO AURORA
COCHABAMBA;CHIMORE;SENDA D;SINDICATO SENDA D;50870021;SENDA D
COCHABAMBA;CHIMORE;SENDA F;SINDICATO SENDA F;50870022;BOLIVIA
COCHABAMBA;CHIMORE;SENDA III;SINDICATO SENDA III;50870023;SENDA III
COCHABAMBA;CHIMORE;VALLE HERMOSO;VALLE HERMOSO;50870024;VALLE HERMOSO
COCHABAMBA;CHIMORE;CARMEN CONI;CMD. CARMEN CONI;50870025;CARMEN CONI
COCHABAMBA;CHIMORE;BAJO SAN JUAN;BAJO SAN JUAN;50870028;SAN JUAN DE DIOS
COCHABAMBA;CHIMORE;ALTO SAN JUAN;ALTO SAN JUAN;50870026;SAN ANDRES
COCHABAMBA;CHIMORE;ENTRE RIOS;SINDICATO ENTRE RIOS;50870027;ENTRE RIOS TACUARAL
