DEPARTAMEN;DISTRITO;ZONA;DIRECCION;CODIGO_UE;UNIDAD_EDU
COCHABAMBA;VILA VILA/ ALALAY;SIVINGANI;SIVINGANI;70860064;PROF. FRANCISCO TERAN
COCHABAMBA;VILA VILA/ ALALAY;K'UCHU ARRUMANI;SINDICATO KUCHU ARRUMANI;70860066;ARUMANI CUCHO
COCHABAMBA;VILA VILA/ ALALAY;SIVINGANI SUD;SIVINGANI SUD;70860067;SIVINGANI SUD
COCHABAMBA;VILA VILA/ ALALAY;K'ULLKU MAYU;KULLKU MAYU;70860068;KULLKU MAYU
COCHABAMBA;VILA VILA/ ALALAY;VISCACHANI;VISCACHANI;70860069;27 DE MAYO DE VISCACHANI
COCHABAMBA;VILA VILA/ ALALAY;PUCARANI;COMUNIDAD  PUCARANI;70860070;PUCARANI
COCHABAMBA;POJO;COL. GUALBERTO VILLARROEL;CARRETERA CBBA. - SANTA CRUZ ZONA MAMORECITO;70870044;GUALBERTO VILLARROEL
COCHABAMBA;POJO;VILLA ESPERANZA;KM. 191 CARRETERA ANTIGUA CBBA SANTA CRUZ;70870061;EMILIO GRAGEDA ZURITA
COCHABAMBA;POJO;COL. 10 DE FEBRERO;10 DE FEBRERO A 13 KM. DE LA CENTRAL;70870001;HERNAN SILES
COCHABAMBA;POJO;COLONIA GRUPO SACABA;COLONIA GRUPO SACABA;70870005;6 DE JUNIO
COCHABAMBA;POJO;ALIZAR ADENTRO;ALIZAR ADENTRO;70870007;TUPAC KATARI
COCHABAMBA;POJO;CHANCADORA;LOCALIDAD DE CHANCADORA;70870011;CHANCADORA
COCHABAMBA;POJO;CMD. CHALLHUANI;A 27 KM. DEL PUEBLO DE POJO;70870012;LUIS ESPINAL
COCHABAMBA;POJO;CHICHAHUAYCO;CHICHAHUAYCO;70870013;CONSTANCIO MORALES
COCHABAMBA;POJO;CHULLPAS;CHULLPAS;70870014;VICTOR VEIZAGA
COCHABAMBA;POJO;BULO BULO;BULO BULO;70870015;SAN MARCOS
COCHABAMBA;POJO;COL. 10 DE MARZO;COMUNIDAD 10 DE MARZO;70870016;10 DE MARZO
COCHABAMBA;POJO;COLONIA VILLA UNION;COL. VILLA UNION CHICO;70870021;VILLA UNION
COCHABAMBA;POJO;DIAMPAMPA;CMD. DIAMPAMPA;70870024;SAN MIGUEL
COCHABAMBA;POJO;DURAZNILLO;DURAZNILLO;70870025;SEVERINO CATORCENO
COCHABAMBA;POJO;GUARAYOS;CAMINO COMPLEMENTARIO A 20 KM. DE POJO;70870028;ANICETO ARCE
COCHABAMBA;POJO;LA HABANA;LA HABANA;70870029;TELESFORO GUEVARA
COCHABAMBA;POJO;COLONIA ILLIMANI;COLONIA ILLIMANI;70870030;ILLIMANI
COCHABAMBA;POJO;MANCO KAPAC;PUEBLO DE MANCO KAPAC;70870031;JOSE CARRASCO
COCHABAMBA;POJO;KARAHUASI;CMD. KARAHUASI;70870032;GERMAN BUSCH
COCHABAMBA;POJO;LA VIÑA;LA VIÑA A 15 KM. DE LA CENTRAL CHALLHUA;70870033;NATANIEL AGUIRRE
COCHABAMBA;POJO;LOCOTAL;CMD. LOCOTAL;70870034;LADISLAO CABRERA
COCHABAMBA;POJO;LUMBRE ABRA;CMD. LUMBRE ABRA;70870035;ADELA ZAMUDIO
COCHABAMBA;POJO;MAMA HUASI;MAMA HUASI;70870036;DARIO MERCADO
COCHABAMBA;PUERTO VILLARROEL;COL. NUEVA ESTRELLA;NUEVA ESTRELLA A 22 KM. DE LA CENTRAL;70870039;VIDAL DURAN
COCHABAMBA;POJO;PALCA;PALCA;70870040;JUAN CAMACHO SALAZAR
COCHABAMBA;POJO;PUEBLO;POJO 200 KM. CAMINO ANTIGUO A SANTA CRUZ;70870043;VENANCIO LOSS
COCHABAMBA;POJO;PUENTECILLAS;PUENTECILLAS;70870045;21 DE SEPTIEMBRE
COCHABAMBA;POJO;REAL;CMD. REAL;70870047;ISMAEL MONTES
COCHABAMBA;POJO;COLONIA ANDINO;COLONIA ANDINO;70870048;RENE BARRIENTOS ORTUÑO
COCHABAMBA;POJO;RIO BLANCO;CARRETERA NUEVA A SANTA CRUZ KM. 275;70870049;LIBERTAD
COCHABAMBA;POJO;RIO GRANDE;CMD. RIO GRANDE;70870050;ELIZARDO PEREZ
COCHABAMBA;POJO;RODEO ADENTRO;CMD. RODEO ADENTRO;70870051;PROF. FELIPE FLORES QUISPE
COCHABAMBA;POJO;SINDICATO ALTO LINARES;SINDICATO ALTO LINARES;70870053;ESTEBAN ARCE
COCHABAMBA;POJO;ENTRE RIOS;ENTRE RIOS 265 KM. CARRETERA A SANTA CRUZ;70,870,054,708,701;FRANZ TAMAYO,MARISCAL SUCRE
COCHABAMBA;POJO;SUNCHAL;SUNCHAL 206 KM. CAMINO ANTIGUO SANTA CRUZ;70870055;MANUELA GANDARILLAS
COCHABAMBA;POJO;THOLAR;THOLAR;70870056;27 DE MAYO
COCHABAMBA;POJO;THAGO LAGUNA;TIERRAS NUEVAS CHICO SE ENCUNETRA A 20 KM DE LA CENTRAL DE CHALLHUANI;70870057;OSCAR ALFARO
COCHABAMBA;POJO;TRAPOS;KM 196 CARRETERA ANTIGUA COCHABAMBA SANTA CRUZ;70870059;FILIBERTO ALVARADO
COCHABAMBA;POJO;YUTHUPAMPA;YUTHUPAMPA;70870062;1RO. DE MAYO
COCHABAMBA;POJO;SINDICATO SAN SALVADOR;SINDICATO SAN SALVADOR A  UBICADO A 18 KMS. DE LA CENTRAL;70870064;SAN SALVADOR A
COCHABAMBA;POJO;VILAQUE;VILAQUE ESTA A 20 KM. DE LA CENTRAL CHALLHUANI;70870065;JAIME LAREDO
COCHABAMBA;POJO;HONDURAS;HONDURAS A 20 KM. DE LA CENTRAL CHALLHUANI;70870072;ELIODORO VILLAZON
COCHABAMBA;POJO;GUAYABITOS;A 30 KM. DE LA CENTRAL CHALLHUANI;70870073;ALCIDES ARGUEDAS
COCHABAMBA;POJO;COL. NUEVA ESPERANZA;COMUNIDAD DE BELLA VISTA;70870081;MAX FERNANDEZ
COCHABAMBA;POJO;PALMAR;EL PALMAR;70870083;EL PALMAR
COCHABAMBA;POJO;VALLE HERMOSO;KM. 187 CARRETERA ANTIGUA CBBA SANTA CRUZ (SOBRE CARRETERA);70870078;5 DE ABRIL
COCHABAMBA;POJO;CRUCE CHANCADORA;CRUCE CHANCADORA A 5 KM. DE LA CENTRAL;70870086;SAN JOSE
COCHABAMBA;PUERTO VILLARROEL;SAN JOAQUIN;SAN JOAQUIN A 6 KM. DE LA CENTRAL;70870087;MARCELO QUIROGA SANTA CRUZ A
COCHABAMBA;POJO;ISARZAMA;ISARZAMA A 243 KMS. CARRETERA CBBA. - SANTA CRUZ;70870088;EDUARDO ABAROA
COCHABAMBA;POJO;RODEO ADENTRO;;70870092;SAN EUGENIO DE MAZENOD RODEO
COCHABAMBA;POJO;CERRO VERDE;COMUNIDAD CERRO VERDE;70870095;4 DE AGOSTO
COCHABAMBA;POJO;PUCARA;PUCARA;70870096;24 DE FEBRERO
COCHABAMBA;POJO;;COLONIA PUERTO ANDINO;70870098;PUERTO ANDINO
COCHABAMBA;POJO;ENTRE RIOS;ENTRE RIOS KM. 265;70870099;NACIONAL AYACUCHO
COCHABAMBA;POJO;SINDICATO DIAM PAMPA;CMD. DIAMPAMPA B;70870101;LA CAPILLA
COCHABAMBA;POJO;SINDICATO SAN JOSE;CAMINO A SAN JOSE;70870102;SAN JOSE
COCHABAMBA;COLOMI;AGUIRRE;CMD. AGUIRRE PLAZA PRINCIPAL ACERA NORTE;70890001;NATANIEL AGUIRRE GONZALES
COCHABAMBA;COLOMI;CHULLPANI;CHULLPANI GRANDE;70890002;CHULLPANI
COCHABAMBA;COLOMI;CMD. KHISKA MOQU;CMD. KHISKA MOQU;70890003;KICHKA MUQU
COCHABAMBA;COLOMI;CANDELARIA;CMD. CANDELARIA;70890020;CANDELARIA
COCHABAMBA;COLOMI;CMD. KAYARANI;CMD. PRIMERO KAYARANI;70890005;KAYARANI
COCHABAMBA;COLOMI;SORA SORA;CMD. SORA SORA;70890006;SORA SORA
COCHABAMBA;COLOMI;ZONA SUD;CALLE ABAROA;708,900,227,089,002;CARMELA ALBORNOZ,SOCRATES VILLAZON
COCHABAMBA;COLOMI;CORANI PAMPA;CORANI PAMPA;70890008;CORANI PAMPA
COCHABAMBA;COLOMI;PALTA LOMA;CMD. PALTA LOMA;70890010;PALTA LOMA
COCHABAMBA;COLOMI;PICO CENTRAL;PICO CENTRAL;70890011;PICO CENTRAL
COCHABAMBA;COLOMI;PUCARA;PUCARA;70890012;PUKARA
COCHABAMBA;COLOMI;SALTO;SALTO;70890013;SALTO
COCHABAMBA;COLOMI;CMD. MOSOJ LLAJTA;SIND. MOSOJ LLAJTA;70890016;MOSOJ LLAJTA
COCHABAMBA;COLOMI;WASA RANCHO;TABLAS MONTE;70890018;TABLAS MONTE
COCHABAMBA;COLOMI;VILLA ROSARIO;VILLA ROSARIO;70890019;ROSARIO
COCHABAMBA;COLOMI;CMD. KANKO;CMD. KANKO;70890021;KANKO
COCHABAMBA;COLOMI;CENTRO URBANO;CALLE ABAROA;708,900,237,089,004;SAMUEL FINA SAVIO,13 DE NOVIEMBRE
COCHABAMBA;COLOMI;DURAZNOS;DURAZNOS;70890025;DURAZNOS
COCHABAMBA;COLOMI;CHULUMANI;CHULUMANI;70890015;CHULUMANI
COCHABAMBA;COLOMI;AGUIRRE 2;CMD. AGUIRRE 2;70890027;AGUIRRE II
COCHABAMBA;COLOMI;VILLA NARANJOS;CMD. VILLA NARANJOS;70890029;VILLA NARANJOS
COCHABAMBA;COLOMI;ZONA SUD;CALLE ABAROA;70890031;CLARA MONTAÑO
COCHABAMBA;COLOMI;BALCON;CMD. BALCON;70890033;2 DE AGOSTO
COCHABAMBA;COLOMI;KALLIRI - UKUCHI;CMD. KALLIRI UKUCHI;70890035;KALLIRI UKUCHI
COCHABAMBA;COLOMI;YACU YACU;COMUNIDAD SANTA ISABEL KM. 82 A SANTA CRUZ;70890038;SANTA ISABEL
COCHABAMBA;COLOMI;VILLA BARRIENTOS;KALLIRI;70890039;MARAVILLAS GRANDE
COCHABAMBA;COLOMI;SINDICATO UKUCHI;COMUNIDAD RIO NEGRO;70890040;12 DE ABRIL
COCHABAMBA;COLOMI;SINDICATO KORY MAYU;PISLY;70890041;LIBERTADOR SIMON BOLIVAR
COCHABAMBA;SIPE SIPE;CHAPINI;CHAPINI;70900002;CHAPINI
COCHABAMBA;VINTO;COHACHACA;COHACHACA;70900004;COHACHACA
COCHABAMBA;SIPE SIPE;CAVILOMA;CAVILOMA;70900007;CAVILOMA
COCHABAMBA;SIPE SIPE;CHILTUPAMPA;ECIA. CHILTUPAMPA;70900008;CHILTUPAMPA
COCHABAMBA;SIPE SIPE;CHOROJO;CHOROJO;70900009;CHOROJO
COCHABAMBA;SIPE SIPE;SAUCE RANCHO;CARRETERA ANTIGUA A ORURO Km. 21 1/2;70900012;SAUCE RANCHO
COCHABAMBA;SIPE SIPE;SORATA;SORATA PARADA CUATRO CARRETERA CBBA. ORURO KM 25 A 5 CUADRAS DE LA CARRETERA;70900013;SORATA
COCHABAMBA;SIPE SIPE;VINTO CHICO;ECIA. VINTO CHICO;709,000,147,090,004;MANUEL CLAURE ANTEZANA I,MANUEL CLAURE ANTEZANA II
COCHABAMBA;SIPE SIPE;HAMIRAYA;HAMIRAYA;70900016;HAMIRAYA
COCHABAMBA;SIPE SIPE;ITAPAYA;ITAPAYA;70900017;RENE BARRIENTOS ORTUÑO
COCHABAMBA;SIPE SIPE;LAPIANI;LAPIANI;70900020;LAPIANI
COCHABAMBA;SIPE SIPE;MALLCO CHAPI;MALLCO CHAPI;709,000,217,090,008;3 DE ABRIL,GUALBERTO VILLARROEL
COCHABAMBA;SIPE SIPE;MALLCO RANCHO;MALLCO RANCHO;70900022;MALLCO RANCHO
COCHABAMBA;SIPE SIPE;MONTENEGRO;MONTENEGRO    (Carretera antigua CBBA.- ORURO);70900023;MONTENEGRO
COCHABAMBA;SIPE SIPE;PAROTANI;PAROTANI;70900026;CARLOS QUITON CABALLERO
COCHABAMBA;SIPE SIPE;;;70900027;PIRHUAS
COCHABAMBA;SIPE SIPE;PIRQUE;PIRQUE;70900028;PIRQUE
COCHABAMBA;SIPE SIPE;PAYACOLLO;SINDICATO PAYACOLLO;70900031;GERMAN BUSCH
COCHABAMBA;SIPE SIPE;VILA VILA;SINDICATO VILA VILA;70900032;VILA VILA
COCHABAMBA;SIPE SIPE;SIQUI SIQUIA;SINDICATO SIQUI SIQUIA;70900033;TORIBIO CLAURE
COCHABAMBA;SIPE SIPE;SUTICOLLO;SUTICOLLO;70900034;SUTICOLLO
COCHABAMBA;VINTO;THIOMOCO;THIOMOCO;70900035;THIOMOCO
COCHABAMBA;SIPE SIPE;TONCOMA;TONCOMA;70900036;TONCOMA
COCHABAMBA;SIPE SIPE;UCHU UCHU;UCHU UCHU;70900037;UCHU UCHU
COCHABAMBA;SIPE SIPE;VILOMA CALA CALA;VILOMA CALA CALA;70900038;VILOMA CALA CALA
COCHABAMBA;SIPE SIPE;VILOMA GRANDE;VILOMA GRANDE;70900039;AMERICAS
COCHABAMBA;VINTO;VILOMILLA;VILOMILLA;70900040;VILOMILLA
COCHABAMBA;SIPE SIPE;CARAMARCA;CARAMARCA;70900042;CARAMARCA
COCHABAMBA;SIPE SIPE;CARAMARCA COLLPA;CARAMARCA COLLPA;70900043;CARAMARCA COLLPA
COCHABAMBA;SIPE SIPE;SIPE SIPE;CALLE ABAROA;709,000,447,090,005;23 DE MARZO,MCAL. SUCRE
COCHABAMBA;SIPE SIPE;SIPE SIPE;CALLE AYOMA;709,000,457,090,005;RODOLFO MERCADO ROSALES,ANDRES UZEDA OCAMPO
COCHABAMBA;SIPE SIPE;ITAPAYA;ITAPAYA;70900047;VIRGEN DEL CARMEN
COCHABAMBA;SIPE SIPE;ESTACION;;70900048;EDUARDO ABAROA
COCHABAMBA;SIPE SIPE;VILOMA GRANDE;CAMINO VECINAL;70900049;TOPATER
COCHABAMBA;SIPE SIPE;THAKORUMA;THAKORUMA;70900051;THAKORUMA
COCHABAMBA;SIPE SIPE;LOKOLOKONI;LOKOLOKONI;70900060;LOKOLOKONI
COCHABAMBA;SIPE SIPE;ITAPAYA;ITAPAYA;70900061;CIUDAD DEL NIÑO
COCHABAMBA;SIPE SIPE;SINDICATO UCHU UCHU;JANKOAGE;70900058;JANKOAJE
COCHABAMBA;SIPE SIPE;;LOKOLOKONI;70900064;SIMON BOLIVAR
COCHABAMBA;SIPE SIPE;MILLOMA;MILLOMA;70900066;MILLOMA
COCHABAMBA;SIPE SIPE;COHACHACA;COHACHACA  CHICO;70900067;COHACHACA CHICO
COCHABAMBA;SIPE SIPE;SINDICATO JARAÑA;JARAÑA;70900068;TUTUPAYA
COCHABAMBA;SIPE SIPE;SINDICATO MALLA KAWA;MALLA KAWA;70900069;MALLACABA
COCHABAMBA;SIPE SIPE;SUTICOLLO;KILOMETRO 27 1/2 CARRETERA A ORURO;70900070;JUAN XXIII
COCHABAMBA;SIPE SIPE;SIPE SIPE;CALLE ABAROA;70900071;SANTIAGO DOLZ
COCHABAMBA;SIPE SIPE;MONTECANTO;CALLE INKARRACA Y GENERAL RIVERO;70900073;20 DE OCTUBRE
COCHABAMBA;SIPE SIPE;PAROTANI;CHULLPA MAYU;70900074;BENIGNO BAZOALDO
COCHABAMBA;SIPE SIPE;CARAMARCA OTAVI;COMUNIDAD CARAMARCA OTAVI;70900076;ISIDORO CARRASCO OLGUIN
COCHABAMBA;TOKO;COMUNIDAD AYOMA;CMD. AYOMA;70910001;AYOMA
COCHABAMBA;TOKO;ANA RANCHO;SOBRE EL CAMINO TOCO VILLA RIVERO - PUNATA;70910002;ANA RANCHO
COCHABAMBA;TOKO;CHILLIJCHI;CMD. CHILLIJCHI A 20 MT. DE LA PLAZA LADO NORTE;70910003;CHILLIJCHI
COCHABAMBA;TOKO;CULLPA LOMA;CMD. CHULLPA LOMA;70910004;CHULLPA LOMA
COCHABAMBA;TOKO;CRUZ PATA;CAMINO CLIZA CHILIJCHI;70910005;VILLA PAZ
COCHABAMBA;TOKO;MONTE REDONDO;CAMINO TOCO VILLA RIVERO;70910006;MONTE REDONDO
COCHABAMBA;TOKO;PAJCHA;CMD. PAJCHA;70910007;PAJCHA
COCHABAMBA;TOKO;SICHES;CMD. SICHES;70910008;SICHES
COCHABAMBA;TOKO;COMUNIDAD TOQUILLO;CMD. TOQUILLO;70910009;TOQUILLO
COCHABAMBA;TOKO;TOCO;CALLE FRANCISCO DEL RIVERO;709,100,127,091,001;VENERABLE PADRE JOSE AMBROSINI,FRANCISCO DEL RIVERO
COCHABAMBA;TOKO;FLORES RANCHO;CMD. FLORES RANCHO;70910011;FLORES RANCHO
COCHABAMBA;TOKO;KJOCHI;CMD. KJOCHI LAZARO;70910010;KJOCHI
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);HUAÑACOTA;HUAÑACOTA CASTOR ZAMBRANA;70920008;CASTOR ZAMBRANA SORIA
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);CALA CAJA;CALA CAJA;70920001;CALA CAJA
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);CAYACAYANI;CAYACAYANI CONVENTO;70920002;CAYACAYANI A
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);CHIÑATA;CHIÑATA;70920004;CHIÑATA
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);KUTURIPA;KUTURIPA LA UNIDAD EDUCATIVA CORRESPONDE AL AREA RURAL Y SIN S/N;70920006;KUTURIPA
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);CALERA;HUAÑACOCHI;70920007;HUAÑACOCHI
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);MUYURINA;MUYURINA;70920010;MUYURINA
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);POQUERA;JOSE V. RIVERA POQUERA;70920011;JOSE VILLA RIVERA
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);ROCHA RANCHO;ROCHA RANCHO;70920012;ROCHA RANCHO
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);SIND. CANCOTANI;CMD. CAPORAYA;70920013;CAPORAYA
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);PAMPA CHURIGUA;PAMPA CHURIGUA;70920016;PAMPA CHURIGUA
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);CAYACAYANI BAÑOS;CAYACAYANI BAÑOS;70920005;CAYACAYANI B
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);LA PAMPA;LA PAMPA;70920009;LA PAMPA
COCHABAMBA;SANTIVAÑEZ (C. VILLA SANTIVAÑEZ);SANTIVAÑEZ;CALLE RAUL ARCE ESQ. ABAROA;709,200,147,092,002;LUIS GUZMAN ARAUJO,PRUDENCIO ARAUJO
COCHABAMBA;TACOPAYA;AGUAS CALIENTES;COMUNIDAD AGUAS CALIENTES;70930002;VICENTE DONOSO TORREZ
COCHABAMBA;TACOPAYA;ANGOSTURA GRANDE;ANGOSTURA GRANDE;70930003;GRAL. JOSE BALLIVIAN
COCHABAMBA;TACOPAYA;AQUERANA;COMUNIDAD SAN MIGUEL DE AQUERANA;70930004;ANICETO ARCE
COCHABAMBA;TACOPAYA;AVIA;AVIA;70930005;NUEVA CANAAN
COCHABAMBA;TACOPAYA;CATACORA;COMUNIDAD CATACORA;70930007;JUAN MISAEL SARACHO
COCHABAMBA;TACOPAYA;CEBADIRI;COMUNIDAD CEBADIRI;70930008;6 DE AGOSTO
COCHABAMBA;TACOPAYA;CHANGO;CHANGO;70930009;GABRIELA MISTRAL
COCHABAMBA;TACOPAYA;CHANGOLLA;Changolla;70930010;COLORADOS DE BOLIVIA
COCHABAMBA;TACOPAYA;CHIARCALA;CHIARCALA;70930011;NACIONES UNIDAS
COCHABAMBA;TACOPAYA;CHIQUIRUYO;CHIQUIRUYO;70930012;TUPAC KATARI
COCHABAMBA;TACOPAYA;COCAMARCA;COCAMARCA;70930013;LITORAL CAUTIVO
COCHABAMBA;TACOPAYA;CONA CONA;CONA CONA;70930049;GUALBERTO VILLARROEL
COCHABAMBA;TACOPAYA;CORRAL;CORRAL;70930051;HERNAN SILES SUAZO
COCHABAMBA;TACOPAYA;CORRAL PAMPA;CORRAL PAMPA;70930014;21 DE SEPTIEMBRE
COCHABAMBA;TACOPAYA;HORNONI;;70930016;CARLOS MONTENEGRO
COCHABAMBA;TACOPAYA;HUANCANI;HUANCANI;70930055;BOLIVIA
COCHABAMBA;TACOPAYA;JANKOHUYO;JANKOHUYO;70930018;MCAL. SANTA CRUZ
COCHABAMBA;TACOPAYA;KAQUISA;;70930019;JUAN JOSE TORREZ GONZALES
COCHABAMBA;TACOPAYA;KHOTU MAYU;COMUNIDAD KHOTU MAYU;70930020;ISMAEL MONTES
COCHABAMBA;TACOPAYA;LLALLAGUA;LLALLAGUA;70930022;GRAN MCAL. DE AYACUCHO
COCHABAMBA;TACOPAYA;LUKIPAMPA;LUKIPAMPA;70930023;SIMON BOLIVAR
COCHABAMBA;TACOPAYA;LIQUIAPU;LUQUIAPU;70930024;FRANZ TAMAYO
COCHABAMBA;TACOPAYA;MELGAPAMPA;MELGAPAMPA;70930025;SAN FRANCISCO DE ASIS
COCHABAMBA;TACOPAYA;MICAYANI CHICO;MICAYANI CHICO;70930026;SEBASTIAN PAGADOR
COCHABAMBA;TACOPAYA;MOLLE PAMPA;MOLLE PAMPA;70930029;DANIEL SANCHEZ BUSTAMANTE
COCHABAMBA;TACOPAYA;PATIRUYO;PATIRUYO;70930031;MANUEL ASCENCIO PADILLA
COCHABAMBA;TACOPAYA;PUYTUCANI TOTORA;PUYTUCANI TOTORA;70930033;EDUARDO ABAROA
COCHABAMBA;TACOPAYA;RETAMANI;RETAMANI;70930056;TOMAS KATARI
COCHABAMBA;TACOPAYA;SAMI SAMI;SAMI SAMI;70930034;ADELA ZAMUDIO
COCHABAMBA;TACOPAYA;SERKE;SERKE;70930035;LADISLAO CABRERA
COCHABAMBA;TACOPAYA;SIQUIPAMPA;SIQUIPAMPA;70930038;ANTONIO JOSE DE SUCRE
COCHABAMBA;TACOPAYA;SACHACAIMANI;SACHACAIMANI;70930053;ANTOFAGASTA
COCHABAMBA;TACOPAYA;TOTORA PAMPA;TOTORA PAMPA;70930040;ELIZARDO PEREZ
COCHABAMBA;TACOPAYA;TUJUTA;TUJUTA;70930041;MARTIN CARDENAS
COCHABAMBA;TACOPAYA;JUCHUSUMA VAQUERIA;JUCHUSUMA VAQUERIA;70930042;OSCAR ALFARO
COCHABAMBA;TACOPAYA;VELA PUNKU;COMUNIDAD VELA PONGO;70930043;GRAN CHACO
COCHABAMBA;TACOPAYA;VENTILLA;VENTILLA;70930044;GRAL. RENE BARRIENTOS ORTUÑO
COCHABAMBA;TACOPAYA;YARVIRI CHICO;COMUNIDAD YARVIRI CHICO;70930057;CARMELA SERRUTO
COCHABAMBA;TACOPAYA;YARVIRI GRANDE;COMUNIDAD YARVIRI GRANDE;70930048;12 DE ABRIL
COCHABAMBA;TACOPAYA;SIPINI;SIPINI;70930050;ESTEBAN ARZE
COCHABAMBA;TACOPAYA;VILA VILA;VILA VILA;70930052;MEJILLONES
COCHABAMBA;TACOPAYA;WARISGALLO ALTO;WARISGALLO ALTO;70930046;JUANCITO PINTO
COCHABAMBA;TACOPAYA;SUNTURUTA;COMUNIDAD SUNTURUTA;70930037;ALCIDES ARGUEDAS
COCHABAMBA;TACOPAYA;MOLLEJARA;MOLLEJARA;70930028;DR. BAUTISTA SAAVEDRA
COCHABAMBA;TACOPAYA;MICAYANI GRANDE;MICAYANI GRANDE;70930027;GENOVEVA RIOS
COCHABAMBA;TACOPAYA;CARAMARCA;COMUNIDAD CARAMARCA;70930059;ADOLFO BALLIVIAN
COCHABAMBA;TACOPAYA;TARUCA THAPA;TARUCA THAPA;70930054;PEDRO DOMINGO MURILLO
COCHABAMBA;TACOPAYA;LA COMUNA;LA COMUNA;70930058;SAN JUAN DE LA COMUNA
COCHABAMBA;TACOPAYA;VILAQUE;VILAQUE;70930063;2 DE AGOSTO
COCHABAMBA;TACOPAYA;VILOTA GRANDE;VILOTA GRANDE;70930064;MARCELO QUIROGA SANTA CRUZ
COCHABAMBA;TACOPAYA;PONGO KASA;PONGO KASA;70930069;JUANA AZURDUY DE PADILLA
COCHABAMBA;TACOPAYA;INCALACAYA;INCALACAYA;70930071;1RO. DE MAYO
COCHABAMBA;TACOPAYA;COLLPA K'ASA;COLLPA KASA;70930092;ALEJO CALATAYUD
COCHABAMBA;TACOPAYA;AUQUIK'ASA;COMUNIDADA  UQUIKASA;70930093;COCHABAMBA
COCHABAMBA;TACOPAYA;VILIOTA CHICO;COMUNIDAD VILOTA CHICO;70930094;SAN ISIDRO
COCHABAMBA;TACOPAYA;TORRENI;TORRENI;70930097;TUPAC AMARU
COCHABAMBA;TACOPAYA;TACOPAYA;ALTO TACOPAYA;70930098;SAN JUAN BOSCO
COCHABAMBA;VACAS;challacava;camino vacas paredones;70940002;CHALLACAVA
COCHABAMBA;VACAS;CAÑADA GRANDE;CARRETERA ARANI VACAS KM. 68;70940003;CAÑADA GRANDE
COCHABAMBA;VACAS;CAÑADAS;2DA. SECCION VACAS;70940004;DAVID MORATO CAÑADAS
COCHABAMBA;VACAS;CHALLHUAMAYU;LADO INSTITUTO NORMAL SUPERIOR VACAS;70940005;COPACABANA
COCHABAMBA;VACAS;PAJCHA PATA;2DA. SECCION VACAS;70940007;PAJCHA PATA
COCHABAMBA;VACAS;PARKO KHOCHA;CAMINO VACAS 400 METROS AL NORTE;70940008;PARKO KHOCHA
COCHABAMBA;VACAS;PEDREGAL;CARRETERA ARANI VACAS DESVIO 3 KM. NORTE;70940009;PEDREGAL
COCHABAMBA;VACAS;PHUYO PHUYO CHICO;CARRETERA ARANI MIZQUE DESVIO 4 KM. SUD;70940010;PHUYU PHUYU CHICO
COCHABAMBA;VACAS;YANATAMA;YANATAMA;70940012;YANATAMA
COCHABAMBA;VACAS;COLLPA KHOCHA;ZONA CEMENTERIO VACAS 800 METROS SUD ESTE;70940013;COLLPA KHOCHA
COCHABAMBA;POCONA;JATUNPAMPA;3RA. SECCION POCONA;70940015;JAVIER GONZALES
COCHABAMBA;VACAS;JUNTUTUYO;CARRETERA ARANI MIZQUE KM. 75 ESTE;70940016;JUNTUTUYO
COCHABAMBA;VACAS;CHANCA;CARRETERA VACAS RODEO;70940017;TOMAS SILES
COCHABAMBA;VACAS;LAQUIÑA;CARRETERA ARANI MIZQUE KM. 77;70940019;LAQUIÑA
COCHABAMBA;POCONA;LOMAN;3RA. SECCION POCONA;70940020;LOMAN
COCHABAMBA;VACAS;MISUKANI;ZONA CHALLWAMAYU AL SUD ESTE;70940021;MISUKANI
COCHABAMBA;VACAS;MUYOJCHIPA;CAMINO RODEO A VACAS;70940033;MUYOJCHIPA
COCHABAMBA;VACAS;PHUYU PHUYU GRANDE;A TRES KILOMRTROS HACIA EL NORTE DE LA COMUNIDAD DE RODEO;70940022;PHUYU PHUYU GRANDE
COCHABAMBA;VACAS;ARANI MIZQUE;CARRETERA COCHABAMBA MIZQUE;70940023;PISKHO MAYU
COCHABAMBA;VACAS;RODEO;CARRETERA COCHABAMBA A MIZQUE;70940025;RODEO
COCHABAMBA;VACAS;SAPILICA;ZONA CHALLWAMAYU;70940026;SAPILICA
